Number,Filename,Jaccard
1,1469428103-2052100.png,0.505245
2,1469428124-2077900.png,0.503309
3,1469428129-2084500.png,0.50188
4,1469428142-2099900.png,0.617647
5,1469428143-2100800.png,0.630687
6,1469428144-2101500.png,0.715371
7,1469428147-2105600.png,0.598753
8,1469428148-2106400.png,0.650691
9,1469428149-2107600.png,0.692847
10,1469428150-2108200.png,0.742738
11,1469428150-2108800.png,0.673719
12,1469428152-2110400.png,0.705446
13,1469428152-2110800.png,0.526717
14,1469428152-2111300.png,0.591258
15,1469428154-2113200.png,0.640707
16,1469428155-2113900.png,0.758819
17,1469428161-2121200.png,0.628477
18,1469428164-2124500.png,0.587432
19,1469428165-2125200.png,0.70431
20,1469428166-2126100.png,0.888939
21,1469428166-2126900.png,0.734266
22,1469428168-2128700.png,0.751644
23,1469428170-2131400.png,0.58386
24,1469428178-2141000.png,0.71029
25,1469428180-2142300.png,0.583095
26,1469428182-2144700.png,0.541566
27,1469428182-2145500.png,0.519774
28,1469428183-2146000.png,0.681984
29,1469428183-2146700.png,0.711974
30,1469428185-2148200.png,0.778236
31,1469428186-2149300.png,0.732933
32,1469428186-2150000.png,0.635945
33,1469428188-2152100.png,0.750125
34,1469428189-2152700.png,0.571809
35,1469428189-2153400.png,0.629787
36,1469428191-2154800.png,0.680672
37,1469428192-2156200.png,0.699735
38,1469428214-2181300.png,0.721801
39,1469428303-2289200.png,0.608937
40,1469428304-2289600.png,0.518773
41,1469428345-2339500.png,0.559378
42,1469428345-2340000.png,0.634811
43,1469428346-2340400.png,0.642185
44,1469428347-2341500.png,0.622631
45,1469428347-2342100.png,0.798969
46,1469428354-2350000.png,0.753919
47,1469428356-2352000.png,0.658307
48,1469428356-2352800.png,0.656557
49,1469428358-2354800.png,0.799168
50,1469428359-2355400.png,0.732955
51,1469428360-2356800.png,0.70614
52,1469428361-2357500.png,0.703704
53,1469428361-2358400.png,0.688812
54,1469428363-2359800.png,0.624845
55,1469428369-2366700.png,0.633202
56,1469428370-2367700.png,0.580295
57,1469428370-2368100.png,0.619586
58,1469428374-2372600.png,0.59184
59,1469428375-2373300.png,0.732737
60,1469428376-2374500.png,0.652337
61,1469428380-2379400.png,0.713253
62,1469428381-2380400.png,0.772646
63,1469428381-2381000.png,0.620307
64,1469428382-2381500.png,0.659389
65,1469428402-2405400.png,0.733586
66,1469428402-2406000.png,0.651749
67,1469428403-2406500.png,0.71517
68,1469428404-2407400.png,0.712116
69,1469428407-2411300.png,0.654545
70,1469428409-2413200.png,0.648689
71,1469428409-2413800.png,0.740926
72,1469428410-2414600.png,0.804752
73,1469428420-2425400.png,0.650892
74,1469428420-2426000.png,0.694978
75,1469428421-2426500.png,0.581025
76,1469428422-2427500.png,0.587302
77,1469428422-2428000.png,0.587897
78,1469428425-2430700.png,0.505623
79,1469428425-2431400.png,0.733773
80,1469428426-2432000.png,0.657851
81,1469428427-2432800.png,0.654656
82,1469428434-2441000.png,0.582857
83,1469428434-2441700.png,0.64
84,1469428436-2443400.png,0.521457
85,1469428438-2445400.png,0.585434
86,1469428440-2447500.png,0.691134
87,1469428440-2448200.png,0.671256
88,1469428441-2448700.png,0.5821
89,1469428452-2461500.png,0.720006
90,1469428455-2465500.png,0.554899
91,1469428458-2468000.png,0.614008
92,1469428459-2469300.png,0.619673
93,1469428464-2475400.png,0.565128
94,1469428473-2485700.png,0.675753
95,1469428489-2505300.png,0.84707
96,1469428498-2515800.png,0.542353
97,1469428501-2519500.png,0.549303
98,1469428501-2519900.png,0.615942
99,1469428506-2525100.png,0.748727
100,1469428508-2527200.png,0.544483
101,1469428509-2529100.png,0.549779
102,1469428510-2529900.png,0.541767
103,1469428511-2530700.png,0.657143
104,1469428512-2531900.png,0.697911
105,1469428512-2532500.png,0.775478
106,1469428513-2533100.png,0.706946
107,1469428514-2534100.png,0.735581
108,1469428515-2535500.png,0.815534
109,1469428521-2542400.png,0.675248
110,1469428535-2558400.png,0.757863
111,1469428536-2559100.png,0.699389
112,1469428536-2559800.png,0.696189
113,1469428537-2560900.png,0.542975
114,1469428539-2562400.png,0.533333
115,1469428543-2566900.png,0.677705
116,1469428543-2567300.png,0.769782
,AVERAGE, 0.65681
